"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/03/18"
"Time","12:01:27"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","60V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","     10A","     10A","     10A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   28,  2026/03/18,12:01:11,131.21E+00,131.34E+00,118.25E+00,12.223E-03,131.21E+00,2.3736E+00,2.3908E+00,2.1525E+00,-710.57E-06,2.3736E+00,-304.07E+00,311.43E+00,-67.296E+00,-0.9764E+00,-167.52E+00,49.997E+00,NAN,186.09E+00,-185.97E+00,3.5012E+00,-3.4927E+00,1.418E+00,1.475E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5798E+00,7.3079E+00,6.5795E+00,6.5795E+00,65.422E-03,156.68E+00,156.69E+00,1.5768E+00,0.9999E+00,0.58E+00,Error,NAN,23.897E+00,23.725E+00,6.7158E+00,6.4740E+00,1.003E+00,1.021E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   29,  2026/03/18,12:01:11,131.19E+00,131.32E+00,118.23E+00,9.5317E-03,131.19E+00,2.3819E+00,2.3993E+00,2.1601E+00,250.02E-06,2.3819E+00,-305.16E+00,312.49E+00,-67.264E+00,-0.9766E+00,-167.57E+00,49.995E+00,NAN,185.97E+00,-186.06E+00,3.5144E+00,-3.5201E+00,1.418E+00,1.478E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6286E+00,7.3619E+00,6.6280E+00,6.6280E+00,87.782E-03,157.83E+00,157.84E+00,2.1241E+00,0.9999E+00,0.77E+00,Error,NAN,23.903E+00,23.693E+00,6.7991E+00,6.4821E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   30,  2026/03/18,12:01:11,131.15E+00,131.28E+00,118.20E+00,9.1559E-03,131.15E+00,2.3678E+00,2.3850E+00,2.1472E+00,295.13E-06,2.3678E+00,-303.17E+00,310.54E+00,-67.240E+00,-0.9763E+00,-167.49E+00,49.996E+00,NAN,186.03E+00,-185.94E+00,3.4982E+00,-3.4978E+00,1.418E+00,1.477E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5608E+00,7.2867E+00,6.5603E+00,6.5603E+00,79.935E-03,156.23E+00,156.24E+00,1.9274E+00,0.9999E+00,0.71E+00,Error,NAN,23.922E+00,23.719E+00,6.7148E+00,6.4415E+00,1.005E+00,1.023E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   31,  2026/03/18,12:01:11,130.99E+00,131.11E+00,118.04E+00,4.2161E-03,130.99E+00,2.3732E+00,2.3909E+00,2.1526E+00,-1.9559E-03,2.3732E+00,-303.63E+00,310.87E+00,-66.709E+00,-0.9767E+00,-167.61E+00,49.994E+00,NAN,185.78E+00,-185.78E+00,3.4901E+00,-3.4866E+00,1.418E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5576E+00,7.2833E+00,6.5573E+00,6.5573E+00,60.452E-03,156.16E+00,156.16E+00,1.4557E+00,1.0000E+00,0.53E+00,Error,NAN,23.909E+00,23.725E+00,6.7046E+00,6.4608E+00,1.004E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   32,  2026/03/18,12:01:11,131.00E+00,131.12E+00,118.05E+00,-3.4044E-03,131.00E+00,2.3709E+00,2.3887E+00,2.1506E+00,-912.91E-06,2.3709E+00,-303.32E+00,310.58E+00,-66.758E+00,-0.9766E+00,-167.59E+00,49.992E+00,NAN,185.68E+00,-185.81E+00,3.4840E+00,-3.4866E+00,1.418E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5524E+00,7.2776E+00,6.5521E+00,6.5521E+00,58.724E-03,156.03E+00,156.04E+00,1.4177E+00,1.0000E+00,0.52E+00,Error,NAN,23.897E+00,23.712E+00,6.6904E+00,6.4557E+00,1.003E+00,1.021E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   33,  2026/03/18,12:01:12,131.12E+00,131.27E+00,118.18E+00,1.3328E-03,131.12E+00,2.3761E+00,2.3942E+00,2.1555E+00,-1.2525E-03,2.3761E+00,-304.29E+00,311.56E+00,-66.930E+00,-0.9767E+00,-167.59E+00,50.007E+00,NAN,185.78E+00,-185.78E+00,3.4860E+00,-3.4846E+00,1.417E+00,1.467E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.449E+00,23.813E+00,23.813E+00,0.000E+00,6.5906E+00,7.3200E+00,6.5903E+00,6.5903E+00,66.090E-03,156.93E+00,156.94E+00,1.5959E+00,0.9999E+00,0.58E+00,Error,NAN,23.897E+00,23.712E+00,6.7524E+00,6.4608E+00,1.004E+00,1.025E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   34,  2026/03/18,12:01:12,131.11E+00,131.24E+00,118.15E+00,5.7915E-03,131.11E+00,2.3789E+00,2.3968E+00,2.1579E+00,-693.18E-06,2.3789E+00,-304.64E+00,311.90E+00,-66.892E+00,-0.9767E+00,-167.62E+00,49.994E+00,NAN,185.74E+00,-185.78E+00,3.4982E+00,-3.4896E+00,1.417E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6172E+00,7.3494E+00,6.6168E+00,6.6168E+00,72.765E-03,157.56E+00,157.57E+00,1.7572E+00,0.9999E+00,0.64E+00,Error,NAN,23.916E+00,23.700E+00,6.8103E+00,6.4882E+00,1.004E+00,1.029E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   35,  2026/03/18,12:01:12,131.21E+00,131.34E+00,118.25E+00,-63.464E-06,131.21E+00,2.3793E+00,2.3973E+00,2.1583E+00,-3.0710E-03,2.3793E+00,-304.95E+00,312.19E+00,-66.841E+00,-0.9768E+00,-167.64E+00,49.994E+00,NAN,185.71E+00,-185.75E+00,3.4941E+00,-3.4835E+00,1.416E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.450E+00,23.814E+00,23.814E+00,0.000E+00,6.5994E+00,7.3297E+00,6.5990E+00,6.5990E+00,66.807E-03,157.15E+00,157.16E+00,1.6063E+00,0.9999E+00,0.59E+00,Error,NAN,23.903E+00,23.719E+00,6.7625E+00,6.4913E+00,1.004E+00,1.025E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   36,  2026/03/18,12:01:12,131.14E+00,131.27E+00,118.18E+00,-32.853E-06,131.14E+00,2.3792E+00,2.3970E+00,2.1580E+00,-1.8303E-03,2.3792E+00,-304.75E+00,312.01E+00,-66.908E+00,-0.9767E+00,-167.62E+00,49.997E+00,NAN,185.68E+00,-185.71E+00,3.4992E+00,-3.4856E+00,1.416E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.450E+00,23.813E+00,23.813E+00,0.000E+00,6.5851E+00,7.3139E+00,6.5848E+00,6.5848E+00,62.561E-03,156.81E+00,156.81E+00,1.5091E+00,1.0000E+00,0.55E+00,Error,NAN,23.903E+00,23.719E+00,6.7412E+00,6.4831E+00,1.004E+00,1.024E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   37,  2026/03/18,12:01:12,131.17E+00,131.29E+00,118.21E+00,-3.1875E-03,131.17E+00,2.3801E+00,2.3976E+00,2.1586E+00,-1.8514E-03,2.3801E+00,-304.96E+00,312.20E+00,-66.871E+00,-0.9768E+00,-167.63E+00,49.997E+00,NAN,185.84E+00,-185.81E+00,3.4972E+00,-3.4846E+00,1.417E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.450E+00,23.813E+00,23.813E+00,0.000E+00,6.5952E+00,7.3251E+00,6.5949E+00,6.5949E+00,65.916E-03,157.04E+00,157.05E+00,1.5891E+00,0.9999E+00,0.58E+00,Error,NAN,23.897E+00,23.712E+00,6.7656E+00,6.4740E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   38,  2026/03/18,12:01:13,131.22E+00,131.35E+00,118.26E+00,4.3431E-03,131.22E+00,2.3854E+00,2.4031E+00,2.1636E+00,-1.1146E-03,2.3854E+00,-305.76E+00,313.00E+00,-66.918E+00,-0.9769E+00,-167.66E+00,49.992E+00,NAN,186.00E+00,-185.97E+00,3.5043E+00,-3.4927E+00,1.417E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6324E+00,7.3665E+00,6.6322E+00,6.6322E+00,58.983E-03,157.92E+00,157.93E+00,1.4190E+00,1.0000E+00,0.51E+00,Error,NAN,23.897E+00,23.712E+00,6.7910E+00,6.5207E+00,1.004E+00,1.024E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   39,  2026/03/18,12:01:13,131.17E+00,131.30E+00,118.21E+00,-2.2574E-03,131.17E+00,2.3826E+00,2.4003E+00,2.1610E+00,-1.3443E-03,2.3826E+00,-305.30E+00,312.53E+00,-66.858E+00,-0.9769E+00,-167.65E+00,49.990E+00,NAN,185.93E+00,-185.97E+00,3.5124E+00,-3.5089E+00,1.418E+00,1.474E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6271E+00,7.3604E+00,6.6267E+00,6.6267E+00,74.424E-03,157.79E+00,157.80E+00,1.7935E+00,0.9999E+00,0.65E+00,Error,NAN,23.903E+00,23.719E+00,6.8245E+00,6.5055E+00,1.004E+00,1.030E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   40,  2026/03/18,12:01:13,131.11E+00,131.24E+00,118.15E+00,-2.9106E-03,131.11E+00,2.3854E+00,2.4030E+00,2.1635E+00,-3.2276E-03,2.3854E+00,-305.57E+00,312.75E+00,-66.669E+00,-0.9770E+00,-167.69E+00,49.989E+00,NAN,186.03E+00,-185.97E+00,3.5124E+00,-3.5191E+00,1.419E+00,1.475E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.450E+00,23.813E+00,23.813E+00,0.000E+00,6.6124E+00,7.3442E+00,6.6121E+00,6.6121E+00,61.360E-03,157.45E+00,157.46E+00,1.4724E+00,1.0000E+00,0.54E+00,Error,NAN,23.903E+00,23.725E+00,6.7605E+00,6.4903E+00,1.004E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   41,  2026/03/18,12:01:14,131.05E+00,131.17E+00,118.10E+00,-2.1686E-03,131.05E+00,2.3621E+00,2.3798E+00,2.1425E+00,-1.0481E-03,2.3621E+00,-302.27E+00,309.54E+00,-66.702E+00,-0.9765E+00,-167.56E+00,49.994E+00,NAN,185.65E+00,-185.62E+00,3.4992E+00,-3.4724E+00,1.417E+00,1.481E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.816E+00,26.453E+00,23.816E+00,23.816E+00,0.000E+00,6.5478E+00,7.2725E+00,6.5475E+00,6.5475E+00,59.241E-03,155.94E+00,155.94E+00,1.4321E+00,1.0000E+00,0.53E+00,Error,NAN,23.903E+00,23.725E+00,6.7036E+00,6.4598E+00,1.004E+00,1.024E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   42,  2026/03/18,12:01:14,130.95E+00,131.08E+00,118.01E+00,9.4445E-03,130.95E+00,2.3760E+00,2.3938E+00,2.1552E+00,-490.47E-06,2.3760E+00,-303.96E+00,311.14E+00,-66.482E+00,-0.9769E+00,-167.66E+00,49.990E+00,NAN,185.46E+00,-185.52E+00,3.4829E+00,-3.4734E+00,1.417E+00,1.466E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5739E+00,7.3016E+00,6.5737E+00,6.5737E+00,0.000E+00,156.55E+00,156.55E+00,1.0861E+00,1.0000E+00,0.40E+00,Error,NAN,23.922E+00,23.719E+00,6.6681E+00,6.4801E+00,1.005E+00,1.014E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   43,  2026/03/18,12:01:14,131.01E+00,131.12E+00,118.05E+00,2.8975E-03,131.01E+00,2.3783E+00,2.3963E+00,2.1574E+00,-1.0017E-03,2.3783E+00,-304.42E+00,311.59E+00,-66.479E+00,-0.9770E+00,-167.68E+00,49.990E+00,NAN,185.58E+00,-185.59E+00,3.4890E+00,-3.4846E+00,1.417E+00,1.467E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5798E+00,7.3080E+00,6.5795E+00,6.5795E+00,61.516E-03,156.69E+00,156.69E+00,1.4882E+00,1.0000E+00,0.54E+00,Error,NAN,23.897E+00,23.725E+00,6.7249E+00,6.4699E+00,1.003E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   44,  2026/03/18,12:01:15,131.05E+00,131.17E+00,118.09E+00,11.500E-03,131.05E+00,2.3818E+00,2.3996E+00,2.1604E+00,275.04E-06,2.3818E+00,-304.97E+00,312.13E+00,-66.475E+00,-0.9771E+00,-167.70E+00,49.987E+00,NAN,185.90E+00,-185.90E+00,3.4972E+00,-3.4968E+00,1.419E+00,1.468E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6100E+00,7.3415E+00,6.6097E+00,6.6097E+00,60.421E-03,157.39E+00,157.40E+00,1.4571E+00,1.0000E+00,0.53E+00,Error,NAN,23.903E+00,23.731E+00,6.7290E+00,6.4781E+00,1.004E+00,1.018E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   45,  2026/03/18,12:01:15,131.05E+00,131.17E+00,118.09E+00,6.2851E-03,131.05E+00,2.3813E+00,2.3992E+00,2.1601E+00,-110.87E-06,2.3813E+00,-304.91E+00,312.07E+00,-66.469E+00,-0.9771E+00,-167.70E+00,49.987E+00,NAN,185.87E+00,-185.84E+00,3.4901E+00,-3.4886E+00,1.418E+00,1.466E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.449E+00,23.813E+00,23.813E+00,0.000E+00,6.6072E+00,7.3384E+00,6.6069E+00,6.6069E+00,56.742E-03,157.33E+00,157.33E+00,1.3686E+00,1.0000E+00,0.50E+00,Error,NAN,23.903E+00,23.725E+00,6.7514E+00,6.4862E+00,1.004E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   46,  2026/03/18,12:01:16,130.98E+00,131.10E+00,118.03E+00,-958.85E-06,130.98E+00,2.4350E+00,2.4538E+00,2.2092E+00,-924.26E-06,2.4350E+00,-311.98E+00,318.94E+00,-66.230E+00,-0.9782E+00,-168.01E+00,49.986E+00,NAN,185.71E+00,-185.81E+00,3.5743E+00,-3.5841E+00,1.419E+00,1.472E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.802E+00,26.437E+00,23.802E+00,23.802E+00,0.000E+00,6.8685E+00,7.6287E+00,6.8683E+00,6.8683E+00,56.775E-03,163.48E+00,163.48E+00,1.3679E+00,1.0000E+00,0.48E+00,Error,NAN,23.884E+00,23.712E+00,6.9972E+00,6.7422E+00,1.003E+00,1.019E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   47,  2026/03/18,12:01:16,131.07E+00,131.19E+00,118.12E+00,-5.2490E-03,131.07E+00,2.3860E+00,2.4041E+00,2.1645E+00,-3.5785E-03,2.3860E+00,-305.61E+00,312.73E+00,-66.324E+00,-0.9773E+00,-167.76E+00,49.990E+00,NAN,185.90E+00,-185.81E+00,3.5175E+00,-3.5201E+00,1.418E+00,1.475E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6343E+00,7.3684E+00,6.6339E+00,6.6339E+00,72.739E-03,157.97E+00,157.98E+00,1.7494E+00,0.9999E+00,0.63E+00,Error,NAN,23.903E+00,23.719E+00,6.9901E+00,6.5045E+00,1.004E+00,1.054E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   48,  2026/03/18,12:01:16,131.19E+00,131.32E+00,118.23E+00,19.819E-03,131.19E+00,2.3817E+00,2.3998E+00,2.1606E+00,713.61E-06,2.3817E+00,-305.27E+00,312.46E+00,-66.637E+00,-0.9770E+00,-167.69E+00,49.985E+00,NAN,185.87E+00,-185.78E+00,3.4809E+00,-3.4785E+00,1.417E+00,1.462E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.811E+00,26.448E+00,23.811E+00,23.811E+00,0.000E+00,6.6196E+00,7.3522E+00,6.6193E+00,6.6193E+00,62.408E-03,157.61E+00,157.62E+00,1.5084E+00,1.0000E+00,0.55E+00,Error,NAN,23.897E+00,23.712E+00,6.7524E+00,6.4547E+00,1.004E+00,1.020E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   49,  2026/03/18,12:01:16,131.15E+00,131.27E+00,118.19E+00,7.2455E-03,131.15E+00,2.3774E+00,2.3954E+00,2.1567E+00,1.0466E-03,2.3774E+00,-304.61E+00,311.79E+00,-66.546E+00,-0.9770E+00,-167.68E+00,49.989E+00,NAN,185.68E+00,-185.65E+00,3.4748E+00,-3.4632E+00,1.416E+00,1.462E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6015E+00,7.3321E+00,6.6012E+00,6.6012E+00,61.825E-03,157.19E+00,157.20E+00,1.4902E+00,1.0000E+00,0.54E+00,Error,NAN,23.903E+00,23.712E+00,6.7189E+00,6.4557E+00,1.004E+00,1.018E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   50,  2026/03/18,12:01:16,131.14E+00,131.26E+00,118.17E+00,7.7137E-03,131.14E+00,2.3753E+00,2.3934E+00,2.1548E+00,669.57E-06,2.3753E+00,-304.34E+00,311.50E+00,-66.410E+00,-0.9770E+00,-167.69E+00,49.990E+00,NAN,185.62E+00,-185.59E+00,3.4616E+00,-3.4622E+00,1.415E+00,1.458E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.450E+00,23.813E+00,23.813E+00,0.000E+00,6.5866E+00,7.3157E+00,6.5864E+00,6.5864E+00,0.000E+00,156.84E+00,156.85E+00,1.1311E+00,1.0000E+00,0.41E+00,Error,NAN,23.916E+00,23.719E+00,6.6935E+00,6.4811E+00,1.004E+00,1.016E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   51,  2026/03/18,12:01:17,130.98E+00,131.10E+00,118.03E+00,15.329E-03,130.98E+00,2.4236E+00,2.4421E+00,2.1987E+00,3.3210E-03,2.4236E+00,-310.43E+00,317.44E+00,-66.365E+00,-0.9779E+00,-167.93E+00,49.984E+00,NAN,185.43E+00,-185.49E+00,3.5662E+00,-3.5648E+00,1.416E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.802E+00,26.438E+00,23.802E+00,23.802E+00,0.000E+00,6.8350E+00,7.5909E+00,6.8342E+00,6.8342E+00,104.67E-03,162.67E+00,162.69E+00,2.5179E+00,0.9999E+00,0.89E+00,Error,NAN,23.890E+00,23.712E+00,7.0125E+00,6.4933E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   52,  2026/03/18,12:01:17,130.99E+00,131.10E+00,118.03E+00,-14.272E-03,130.99E+00,2.4099E+00,2.4286E+00,2.1865E+00,-4.7226E-03,2.4099E+00,-308.70E+00,315.68E+00,-65.980E+00,-0.9779E+00,-167.94E+00,49.990E+00,NAN,185.74E+00,-185.65E+00,3.5449E+00,-3.5374E+00,1.418E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.808E+00,26.444E+00,23.808E+00,23.808E+00,0.000E+00,6.7429E+00,7.4865E+00,6.7402E+00,6.7402E+00,188.75E-03,160.47E+00,160.53E+00,4.5556E+00,0.9996E+00,1.63E+00,Error,NAN,23.903E+00,23.712E+00,7.0176E+00,6.4811E+00,1.004E+00,1.041E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   53,  2026/03/18,12:01:17,131.15E+00,131.26E+00,118.18E+00,661.68E-06,131.15E+00,2.3770E+00,2.3948E+00,2.1561E+00,678.38E-06,2.3770E+00,-304.58E+00,311.75E+00,-66.459E+00,-0.9770E+00,-167.69E+00,49.992E+00,NAN,185.93E+00,-185.87E+00,3.4931E+00,-3.4896E+00,1.418E+00,1.470E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6014E+00,7.3321E+00,6.6012E+00,6.6012E+00,57.377E-03,157.19E+00,157.20E+00,1.3835E+00,1.0000E+00,0.50E+00,Error,NAN,23.903E+00,23.725E+00,6.7189E+00,6.4689E+00,1.004E+00,1.018E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   54,  2026/03/18,12:01:17,131.00E+00,131.11E+00,118.04E+00,780.72E-06,131.00E+00,2.4242E+00,2.4428E+00,2.1993E+00,659.57E-06,2.4242E+00,-310.63E+00,317.56E+00,-65.992E+00,-0.9782E+00,-168.01E+00,49.989E+00,NAN,185.78E+00,-185.78E+00,3.5551E+00,-3.5496E+00,1.418E+00,1.466E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.802E+00,26.437E+00,23.802E+00,23.802E+00,0.000E+00,6.8547E+00,7.6135E+00,6.8545E+00,6.8545E+00,52.517E-03,163.15E+00,163.16E+00,1.2640E+00,1.0000E+00,0.44E+00,Error,NAN,23.884E+00,23.712E+00,6.9779E+00,6.7361E+00,1.003E+00,1.018E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   55,  2026/03/18,12:01:18,131.07E+00,131.18E+00,118.10E+00,10.051E-03,131.07E+00,2.3874E+00,2.4052E+00,2.1654E+00,818.44E-06,2.3874E+00,-305.81E+00,312.91E+00,-66.262E+00,-0.9773E+00,-167.77E+00,49.991E+00,NAN,185.90E+00,-185.94E+00,3.5053E+00,-3.5191E+00,1.419E+00,1.474E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.810E+00,26.447E+00,23.810E+00,23.810E+00,0.000E+00,6.6435E+00,7.3786E+00,6.6431E+00,6.6431E+00,74.064E-03,158.17E+00,158.18E+00,1.7903E+00,0.9999E+00,0.65E+00,Error,NAN,23.897E+00,23.731E+00,6.7697E+00,6.4892E+00,1.004E+00,1.019E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   56,  2026/03/18,12:01:18,130.98E+00,131.10E+00,118.03E+00,10.431E-03,130.98E+00,2.3862E+00,2.4044E+00,2.1647E+00,1.9824E-06,2.3862E+00,-305.46E+00,312.54E+00,-66.143E+00,-0.9774E+00,-167.78E+00,49.991E+00,NAN,185.71E+00,-185.81E+00,3.4992E+00,-3.5018E+00,1.419E+00,1.468E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.811E+00,26.447E+00,23.811E+00,23.811E+00,0.000E+00,6.6431E+00,7.3782E+00,6.6427E+00,6.6427E+00,72.160E-03,158.17E+00,158.18E+00,1.7410E+00,0.9999E+00,0.63E+00,Error,NAN,23.909E+00,23.719E+00,6.7890E+00,6.4974E+00,1.004E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   57,  2026/03/18,12:01:18,131.02E+00,131.13E+00,118.06E+00,6.1368E-03,131.02E+00,2.3772E+00,2.3951E+00,2.1563E+00,1.9977E-03,2.3772E+00,-304.32E+00,311.46E+00,-66.293E+00,-0.9771E+00,-167.71E+00,49.999E+00,NAN,185.62E+00,-185.68E+00,3.4921E+00,-3.4886E+00,1.417E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.811E+00,26.448E+00,23.811E+00,23.811E+00,0.000E+00,6.6271E+00,7.3605E+00,6.6268E+00,6.6268E+00,59.882E-03,157.79E+00,157.80E+00,1.4429E+00,1.0000E+00,0.52E+00,Error,NAN,23.909E+00,23.725E+00,6.7778E+00,6.4903E+00,1.004E+00,1.023E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
